Jira ID;Description;RCA;Defect Leakage;Corrective action Preventive action;Preventive action;Category;Status
FISCDSOL-91306;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;Done
FISCDSOL-14957;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;Done
FISCDSOL-5580;CH GENERIC UBIX : Fix reMigration phase crash;Code Incomplete code refactoring;Missed running test case;Run tests on TC environement, we need to have clear understanding about TC BRM and TCBRM scope;Best practices should be respected all the time ;Defect on code for rewrite of existing functionality;Done
FISCDSOL-4805;CH GMI : Issue with override rule for open position and trade;Code-missing implementation;Incorrect test case;Corrected the implementation of the override rule entity mapping, carrying broker instead of null;Add automated regression coverage as wll as validate carrying broker and ccp prerequisite data before automation execution;Defects on existing code found from additional testing;Done
FISCDSOL-49012;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;In progress
FISCDSOL-14958;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;Done
FISCDSOL-5687;CH GENERIC UBIX : Fix reMigration phase crash;Code Incomplete code refactoring;Missed running test case;Run tests on TC environement, we need to have clear understanding about TC BRM and TCBRM scope;Best practices should be respected all the time ;Defect on code for rewrite of existing functionality;In progress
FISCDSOL-15265;CH GMI : Issue with override rule for open position and trade;Code-missing implementation;Incorrect test case;Corrected the implementation of the override rule entity mapping, carrying broker instead of null;Add automated regression coverage as wll as validate carrying broker and ccp prerequisite data before automation execution;Defects on existing code found from additional testing;Done
FISCDSOL-4747;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;Done
FISCDSOL-71173;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;Done
FISCDSOL-16805;CH GENERIC UBIX : Fix reMigration phase crash;Code Incomplete code refactoring;Missed running test case;Run tests on TC environement, we need to have clear understanding about TC BRM and TCBRM scope;Best practices should be respected all the time ;Defect on code for rewrite of existing functionality;To Do
FISCDSOL-16166;CH GMI : Issue with override rule for open position and trade;Code-missing implementation;Incorrect test case;Corrected the implementation of the override rule entity mapping, carrying broker instead of null;Add automated regression coverage as wll as validate carrying broker and ccp prerequisite data before automation execution;Defects on existing code found from additional testing;Done
FISCDSOL-13121;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;Done
FISCDSOL-5843;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;To Do
FISCDSOL-5425;CH GENERIC UBIX : Fix reMigration phase crash;Code Incomplete code refactoring;Missed running test case;Run tests on TC environement, we need to have clear understanding about TC BRM and TCBRM scope;Best practices should be respected all the time ;Defect on code for rewrite of existing functionality;Done
FISCDSOL-66179;CH GMI : Issue with override rule for open position and trade;Code-missing implementation;Incorrect test case;Corrected the implementation of the override rule entity mapping, carrying broker instead of null;Add automated regression coverage as wll as validate carrying broker and ccp prerequisite data before automation execution;Defects on existing code found from additional testing;Done
FISCDSOL-1081;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;Done
FISCDSOL-3831;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;Done
FISCDSOL-3046;CH GENERIC UBIX : Fix reMigration phase crash;Code Incomplete code refactoring;Missed running test case;Run tests on TC environement, we need to have clear understanding about TC BRM and TCBRM scope;Best practices should be respected all the time ;Defect on code for rewrite of existing functionality;Done
FISCDSOL-2824;CH GMI : Issue with override rule for open position and trade;Code-missing implementation;Incorrect test case;Corrected the implementation of the override rule entity mapping, carrying broker instead of null;Add automated regression coverage as wll as validate carrying broker and ccp prerequisite data before automation execution;Defects on existing code found from additional testing;Done
FISCDSOL-5033;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;In progress
FISCDSOL-14340;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;Done
FISCDSOL-16791;CH GENERIC UBIX : Fix reMigration phase crash;Code Incomplete code refactoring;Missed running test case;Run tests on TC environement, we need to have clear understanding about TC BRM and TCBRM scope;Best practices should be respected all the time ;Defect on code for rewrite of existing functionality;In progress
FISCDSOL-45776;CH GMI : Issue with override rule for open position and trade;Code-missing implementation;Incorrect test case;Corrected the implementation of the override rule entity mapping, carrying broker instead of null;Add automated regression coverage as wll as validate carrying broker and ccp prerequisite data before automation execution;Defects on existing code found from additional testing;Done
FISCDSOL-3953;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;Done
FISCDSOL-11068;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;Done
FISCDSOL-11093;CH GENERIC UBIX : Fix reMigration phase crash;Code Incomplete code refactoring;Missed running test case;Run tests on TC environement, we need to have clear understanding about TC BRM and TCBRM scope;Best practices should be respected all the time ;Defect on code for rewrite of existing functionality;To Do
FISCDSOL-2576;CH GMI : Issue with override rule for open position and trade;Code-missing implementation;Incorrect test case;Corrected the implementation of the override rule entity mapping, carrying broker instead of null;Add automated regression coverage as wll as validate carrying broker and ccp prerequisite data before automation execution;Defects on existing code found from additional testing;Done
FISCDSOL-13367;CH GMI : crash in Account owner job;Code Incorrect code implementation;Missing Test case;Adding test cases using exchange name null in CH GMI config;Exchange null value should be convered in all GMI config tests;Best Practices should be repected all the time;Done
FISCDSOL-15461;CH template : fix failures on TS-919 and TS-9445;Code Incomplete code refactoring;Missed running test case;Test case activation;We need to run manual regression tests for deactivated automated tests based on descision and the md file by config should describe the list of deactivated test cases;A newly implemented functionality causes a defect in a dependency that we did not touch;To Do
